Year,State,District,Rape Cases,Abduction Cases,Murder Cases,Total Crimes,Population,Crime Rate,Arrests,Crime Clearance Rate
2021,Rajasthan,Lucknow,69,78,18,165,13683838,1.205802056,124,75.15
2021,Kerala,Kochi,237,96,44,377,19417559,1.941541674,44,11.67
2022,Kerala,Jaipur,234,40,31,305,13087016,2.330554192,99,32.46
2023,Uttar Pradesh,Jaipur,162,31,46,239,7237782,3.302116588,83,34.73
2021,West Bengal,Kolkata,277,63,46,386,3250412,11.87541764,336,87.05
2023,Bengaluru,Ahmedabad,174,15,49,238,19319709,1.231902613,165,69.33
2023,Rajasthan,Bengaluru,260,60,49,369,4677503,7.888824443,108,29.27
2020,Rajasthan,Kolkata,243,13,42,298,18508198,1.61009732,73,24.5
2022,West Bengal,Kolkata,118,64,35,217,24877645,0.872269059,202,93.09
2023,Karnataka,Lucknow,214,120,44,378,28747152,1.314912865,333,88.1
2021,Rajasthan,Kolkata,248,55,43,346,5350447,6.466749414,346,100
2020,Maharashtra,Bengaluru,148,62,20,230,20834574,1.103934259,150,65.22
2021,Kerala,Kolkata,68,113,41,222,9514192,2.333356317,183,82.43
2022,Kerala,Lucknow,175,82,50,307,6519341,4.709064919,267,86.97
2023,Uttar Pradesh,Jaipur,216,21,6,243,20506369,1.184997695,105,43.21
2021,Gujarat,Mumbai,114,98,41,253,26194639,0.965846485,100,39.53
2020,Rajasthan,Jaipur,50,142,10,202,1454371,13.88916583,57,28.22
2023,Maharashtra,New Delhi,135,25,42,202,10400846,1.942149706,118,58.42
2020,Bengaluru,Lucknow,108,26,9,143,13333700,1.072470507,110,76.92
2022,Karnataka,Mumbai,141,134,28,303,24112410,1.256614333,38,12.54
2020,Gujarat,New Delhi,212,52,20,284,19621217,1.447412768,106,37.32
2021,Maharashtra,Hyderabad,78,66,16,160,27735019,0.576888013,83,51.88
2021,Uttar Pradesh,Mumbai,61,33,14,108,15996513,0.67514714,68,62.96
2021,Delhi,Lucknow,169,60,45,274,9777639,2.802312501,261,95.26
2020,Bengaluru,Kochi,258,116,6,380,11738906,3.237098926,256,67.37
2020,West Bengal,Jaipur,226,109,36,371,19864965,1.867609633,298,80.32
2022,Karnataka,Bengaluru,205,98,37,340,20420665,1.664980058,283,83.24
2021,Maharashtra,Lucknow,50,48,31,129,17344326,0.743759083,115,89.15
2020,Tamil Nadu,Mumbai,172,95,39,306,2130606,14.36211106,59,19.28
2022,Karnataka,Hyderabad,212,32,19,263,24148828,1.089079768,222,84.41
2022,Kerala,Kochi,280,83,5,368,26571731,1.384930474,100,27.17
2022,Karnataka,Bengaluru,250,132,17,399,28265089,1.411635392,147,36.84
2020,Kerala,Bengaluru,66,91,5,162,28905802,0.560441118,33,20.37
2020,Rajasthan,New Delhi,147,126,24,297,25169367,1.180005838,243,81.82
2022,Karnataka,New Delhi,174,87,45,306,17366176,1.762045945,272,88.89
2021,Rajasthan,Kochi,293,72,31,396,7349092,5.388420774,113,28.54
2023,Delhi,Lucknow,124,144,13,281,27839958,1.009340603,208,74.02
2022,Tamil Nadu,Kolkata,225,84,37,346,2312308,14.96340453,343,99.13
2023,Tamil Nadu,Kochi,226,21,17,264,21864946,1.207412083,176,66.67
2021,Rajasthan,Hyderabad,269,90,45,404,20277839,1.992322752,285,70.54
2021,Delhi,Kochi,169,118,26,313,12970331,2.413199786,128,40.89
2023,West Bengal,Kolkata,140,87,31,258,21706529,1.188582477,222,86.05
2021,Tamil Nadu,Kolkata,161,88,16,265,6620151,4.002929843,55,20.75
2022,Uttar Pradesh,Ahmedabad,192,140,41,373,27226560,1.369985779,48,12.87
2020,Kerala,New Delhi,88,46,36,170,21152358,0.803692903,156,91.76
2020,Delhi,Kolkata,126,126,13,265,8624185,3.072754121,214,80.75
2023,Kerala,Jaipur,159,20,15,194,7090697,2.73597927,192,98.97
2021,Uttar Pradesh,Bengaluru,268,29,21,318,2555089,12.44575042,242,76.1
2020,West Bengal,New Delhi,80,95,31,206,13190071,1.561780827,69,33.5
2022,Gujarat,Mumbai,298,79,5,382,8197589,4.659906712,235,61.52
2023,Gujarat,Ahmedabad,266,116,29,411,1247108,32.95624757,160,38.93
2023,Gujarat,Kolkata,66,13,36,115,10064888,1.142585988,53,46.09
2023,Delhi,Jaipur,109,34,30,173,17413764,0.993467007,54,31.21
2020,West Bengal,Kolkata,260,133,42,435,19695947,2.208576211,359,82.53
2021,Gujarat,Ahmedabad,70,34,23,127,1140315,11.13727347,123,96.85
2023,Kerala,Ahmedabad,217,134,42,393,18878898,2.081689302,138,35.11
2021,West Bengal,Chennai,233,114,44,391,20670013,1.891629192,129,32.99
2020,Karnataka,New Delhi,53,131,7,191,13210744,1.445792909,136,71.2
2023,Gujarat,Hyderabad,225,101,7,333,21466664,1.551242429,231,69.37
2022,Delhi,Kolkata,283,69,43,395,3675018,10.74824668,225,56.96
2022,Gujarat,Bengaluru,288,124,38,450,22711453,1.981379175,263,58.44
2020,Rajasthan,Lucknow,271,60,22,353,23305642,1.514654692,292,82.72
2021,Kerala,Kochi,255,121,42,418,6288860,6.646673642,332,79.43
2021,Gujarat,Bengaluru,299,148,12,459,19155245,2.396210542,204,44.44
2020,Bengaluru,Lucknow,117,20,47,184,21922582,0.839317194,183,99.46
2020,West Bengal,Kochi,189,29,7,225,12583123,1.788109359,127,56.44
2022,Kerala,Bengaluru,132,12,9,153,28868887,0.52998233,95,62.09
2023,Maharashtra,Mumbai,171,18,47,236,13638310,1.730419678,133,56.36
2022,Uttar Pradesh,Hyderabad,104,127,28,259,5483049,4.723649196,126,48.65
2022,Rajasthan,Bengaluru,283,69,25,377,4772972,7.898642607,259,68.7
2021,Karnataka,Bengaluru,211,94,45,350,12418111,2.818464097,70,20
2022,Rajasthan,Ahmedabad,109,88,46,243,19695174,1.233804789,171,70.37
2022,Kerala,Mumbai,199,61,14,274,22222639,1.232976876,165,60.22
2020,Delhi,Bengaluru,202,84,19,305,19066917,1.599629348,180,59.02
2021,West Bengal,Lucknow,130,128,28,286,23427488,1.220788161,193,67.48
2020,Uttar Pradesh,Chennai,99,46,45,190,23837306,0.797069937,71,37.37
2023,Tamil Nadu,New Delhi,245,62,29,336,21638494,1.552788286,75,22.32
2022,Gujarat,Mumbai,165,133,29,327,18117907,1.804844235,45,13.76
2022,Kerala,Bengaluru,118,26,40,184,28560708,0.644241732,36,19.57
2020,Maharashtra,Bengaluru,98,53,9,160,11543637,1.38604497,101,63.12
2023,Kerala,Kochi,140,44,26,210,25938699,0.809601129,119,56.67
2023,Tamil Nadu,Chennai,242,113,26,381,9924613,3.838940622,281,73.75
2021,Gujarat,Jaipur,283,75,39,397,20460580,1.940316452,31,7.81
2021,Karnataka,Hyderabad,56,51,47,154,29013369,0.530789789,60,38.96
2023,Karnataka,Chennai,145,29,35,209,26583602,0.786198951,47,22.49
2020,Karnataka,Lucknow,121,17,39,177,15042178,1.176691301,32,18.08
2022,Kerala,Jaipur,138,136,14,288,24018882,1.199056642,276,95.83
2021,Tamil Nadu,Chennai,138,47,48,233,13209920,1.763825973,48,20.6
2021,Bengaluru,Kolkata,280,103,43,426,22982936,1.853549085,89,20.89
2023,Uttar Pradesh,Kochi,135,50,28,213,5578945,3.817926149,61,28.64
2022,Delhi,Hyderabad,235,58,17,310,2119437,14.62652582,228,73.55
2021,Tamil Nadu,Chennai,101,130,25,256,22501523,1.137700768,176,68.75
2022,Rajasthan,Lucknow,94,116,39,249,26448228,0.941461938,111,44.58
2020,Tamil Nadu,Hyderabad,144,37,16,197,29017954,0.678890042,40,20.3
2023,Tamil Nadu,Kochi,151,81,31,263,11837602,2.22173376,40,15.21
2022,Maharashtra,Chennai,77,140,46,263,7518471,3.498051665,34,12.93
2021,Bengaluru,Ahmedabad,159,127,17,303,25728688,1.177673731,209,68.98
2023,Gujarat,Jaipur,100,150,29,279,21406809,1.303323629,156,55.91
2022,Kerala,Ahmedabad,180,91,42,313,11927292,2.624233565,91,29.07
2022,Bengaluru,Kochi,105,84,37,226,16890134,1.338059248,195,86.28
2021,Uttar Pradesh,Kolkata,222,99,28,349,5714950,6.106790086,147,42.12
2020,Bengaluru,Kolkata,197,46,49,292,25068520,1.164807496,159,54.45
2020,Rajasthan,Bengaluru,124,84,26,234,22485328,1.040678615,91,38.89
2021,Delhi,Ahmedabad,62,29,24,115,6987595,1.645773689,112,97.39
2020,Maharashtra,Kochi,261,56,50,367,24351863,1.507071553,177,48.23
2021,Tamil Nadu,Kochi,176,141,28,345,13854565,2.490153967,253,73.33
2023,Karnataka,Hyderabad,188,129,36,353,29886865,1.18112087,144,40.79
2023,Maharashtra,Jaipur,228,50,30,308,9842849,3.129175303,136,44.16
2020,Kerala,Hyderabad,160,150,29,339,2387808,14.19712138,100,29.5
2021,Karnataka,New Delhi,214,66,20,300,29713445,1.009643951,270,90
2020,Rajasthan,Bengaluru,259,79,9,347,8893109,3.901897525,152,43.8
2020,West Bengal,Jaipur,83,127,47,257,20489605,1.254294556,235,91.44
2020,Uttar Pradesh,Chennai,144,143,24,311,2128067,14.61420153,115,36.98
2021,Bengaluru,Lucknow,171,48,41,260,29387100,0.884741945,86,33.08
2022,Bengaluru,Lucknow,143,111,29,283,10078306,2.808011584,112,39.58
2020,Rajasthan,Jaipur,196,28,46,270,27693973,0.974941371,231,85.56
2023,Maharashtra,Lucknow,95,82,8,185,20746268,0.891726647,135,72.97
2021,Karnataka,Lucknow,87,92,31,210,9527559,2.204132244,182,86.67
2020,Uttar Pradesh,Ahmedabad,157,70,34,261,26377500,0.98947967,63,24.14
2020,Rajasthan,Chennai,177,74,48,299,21547053,1.387660763,275,91.97
2022,Tamil Nadu,Kolkata,160,147,7,314,2594614,12.10199282,33,10.51
2021,Rajasthan,Kolkata,233,126,32,391,10804974,3.618703756,246,62.92
2020,Gujarat,New Delhi,158,84,45,287,8495781,3.378147342,60,20.91
2020,Gujarat,Jaipur,137,40,47,224,16509802,1.356769754,177,79.02
2022,West Bengal,Ahmedabad,210,76,47,333,13589051,2.450502246,247,74.17
2023,Kerala,Kolkata,160,87,37,284,12673516,2.240893529,118,41.55
2022,Bengaluru,Ahmedabad,136,65,33,234,21446880,1.091067792,214,91.45
2022,Uttar Pradesh,Bengaluru,194,90,46,330,6466451,5.10326298,291,88.18
2020,West Bengal,Mumbai,196,39,34,269,24170982,1.112904722,98,36.43
2023,Kerala,Ahmedabad,126,62,28,216,10436338,2.069691495,71,32.87
2021,West Bengal,Lucknow,78,125,49,252,25358909,0.993733603,120,47.62
2020,Karnataka,Mumbai,119,96,44,259,19709628,1.314078581,131,50.58
2023,Gujarat,Hyderabad,167,111,20,298,5897107,5.0533253,138,46.31
2023,Kerala,Ahmedabad,199,133,23,355,2776293,12.78683482,326,91.83
2021,Uttar Pradesh,Jaipur,107,97,39,243,6357873,3.822032935,181,74.49
2020,Delhi,Chennai,92,58,28,178,4906588,3.627775554,109,61.24
2021,Tamil Nadu,Ahmedabad,158,34,39,231,16306840,1.41658347,228,98.7
2021,Maharashtra,Lucknow,267,59,11,337,13891083,2.426016748,67,19.88
2021,Rajasthan,Kolkata,256,114,24,394,23962601,1.644228855,247,62.69
2023,Gujarat,Jaipur,192,43,49,284,2805762,10.12202746,87,30.63
2023,Rajasthan,Bengaluru,262,72,32,366,2365020,15.47555623,134,36.61
2023,Delhi,Ahmedabad,221,35,18,274,6301270,4.348329781,44,16.06
2022,Delhi,Lucknow,198,141,37,376,25583539,1.469695025,159,42.29
2021,Tamil Nadu,Mumbai,272,133,28,433,19932905,2.172287481,380,87.76
2022,Gujarat,Jaipur,174,106,43,323,27262088,1.18479553,37,11.46
2021,Kerala,Hyderabad,107,122,12,241,12023734,2.004369025,220,91.29
2020,Bengaluru,Chennai,71,124,17,212,6294570,3.367982245,148,69.81
2021,Uttar Pradesh,Jaipur,247,114,38,399,28245912,1.412593794,375,93.98
2020,Delhi,Bengaluru,89,77,14,180,18920722,0.951337903,95,52.78
2022,Kerala,Mumbai,252,141,50,443,8793234,5.037964417,216,48.76
2023,Bengaluru,Jaipur,235,127,8,370,22453258,1.647867762,286,77.3
2022,Delhi,Kochi,232,87,47,366,14205678,2.576434578,114,31.15
2021,Karnataka,Ahmedabad,77,91,43,211,20989187,1.005279528,80,37.91
2020,Tamil Nadu,New Delhi,283,84,44,411,17586149,2.337066518,280,68.13
2023,Delhi,Chennai,194,27,15,236,12733179,1.853425606,79,33.47
2021,Maharashtra,New Delhi,69,136,6,211,25020560,0.843306465,86,40.76
2020,Delhi,Kolkata,150,112,10,272,14921313,1.822895881,213,78.31
2023,West Bengal,Lucknow,62,126,29,217,21089269,1.028959325,191,88.02
2020,Gujarat,New Delhi,234,126,45,405,12450561,3.252865473,325,80.25
2023,Karnataka,Jaipur,51,120,10,181,12114858,1.494033195,163,90.06
2020,West Bengal,Kochi,248,24,21,293,6266028,4.67600847,192,65.53
2022,Gujarat,Lucknow,228,22,25,275,28139346,0.977279287,165,60
2022,Bengaluru,Kolkata,232,113,20,365,3250800,11.22800541,170,46.58
2022,Gujarat,Chennai,176,44,10,230,1985343,11.58489994,203,88.26
2020,Gujarat,Ahmedabad,159,94,11,264,18660727,1.414735878,212,80.3
2023,Karnataka,Hyderabad,263,75,21,359,26506726,1.354373226,260,72.42
2022,West Bengal,Ahmedabad,294,89,15,398,15601721,2.551000624,242,60.8
2020,Kerala,Lucknow,205,44,13,262,13410574,1.953682221,118,45.04
2021,Rajasthan,Chennai,202,82,9,293,13302629,2.202572138,63,21.5
2023,Bengaluru,Kochi,249,13,43,305,17599990,1.73295553,39,12.79
2021,Bengaluru,New Delhi,97,148,38,283,16532026,1.711828907,52,18.37
2023,Rajasthan,Lucknow,68,87,22,177,18570526,0.953123245,91,51.41
2021,Bengaluru,Lucknow,92,130,50,272,26660037,1.020253648,108,39.71
2020,Karnataka,Mumbai,192,134,44,370,13858041,2.669930043,64,17.3
2022,Karnataka,Kolkata,88,88,42,218,6374275,3.419996784,174,79.82
2022,Maharashtra,Lucknow,151,16,18,185,24986344,0.740404439,43,23.24
2020,Tamil Nadu,Lucknow,173,82,16,271,2809703,9.645147548,256,94.46
2021,Karnataka,Bengaluru,106,17,14,137,14322025,0.956568642,70,51.09
2022,Tamil Nadu,Lucknow,259,37,47,343,17275162,1.9855096,140,40.82
2023,Kerala,Lucknow,99,119,45,263,16741414,1.57095452,229,87.07
2022,Tamil Nadu,Chennai,267,60,37,364,8871787,4.102893814,278,76.37
2021,Uttar Pradesh,Hyderabad,237,53,6,296,24793022,1.193884311,181,61.15
2023,West Bengal,Bengaluru,228,100,47,375,4211399,8.904404451,275,73.33
2020,Gujarat,New Delhi,174,52,43,269,2397084,11.22196802,247,91.82
2023,West Bengal,Bengaluru,200,70,16,286,18899772,1.513245768,161,56.29
2022,Tamil Nadu,Mumbai,122,26,29,177,28081411,0.630310208,171,96.61
2023,Maharashtra,Hyderabad,293,142,42,477,21049317,2.266106782,55,11.53
2021,Maharashtra,Kochi,219,114,20,353,12373323,2.852911865,160,45.33
2022,Delhi,Kochi,285,66,40,391,11256356,3.473593053,302,77.24
2022,Kerala,Hyderabad,125,93,46,264,13247647,1.992806723,216,81.82
2023,Delhi,Jaipur,211,146,17,374,14449129,2.588391314,194,51.87
2020,Uttar Pradesh,Kochi,86,39,28,153,8713394,1.755917384,31,20.26
2020,Kerala,Kolkata,208,53,8,269,11746358,2.290071527,71,26.39
2020,Rajasthan,Ahmedabad,252,23,8,283,28988928,0.976234789,159,56.18
2020,Bengaluru,Ahmedabad,284,17,33,334,18400497,1.815168362,208,62.28
2023,Kerala,Mumbai,140,100,32,272,13291513,2.046418643,240,88.24
2021,Maharashtra,Hyderabad,138,54,40,232,9871407,2.350222212,185,79.74
2020,Uttar Pradesh,Jaipur,104,138,46,288,10344671,2.784042141,147,51.04
2021,Bengaluru,Hyderabad,264,90,26,380,7957376,4.775443563,257,67.63
2020,Kerala,Bengaluru,129,63,47,239,23318504,1.024937106,226,94.56
2022,Gujarat,Chennai,72,140,32,244,26505673,0.920557648,173,70.9
2022,Bengaluru,Lucknow,145,19,43,207,14020120,1.47644956,150,72.46
2023,Delhi,Kochi,56,51,22,129,17184119,0.750693125,88,68.22
2020,Tamil Nadu,Ahmedabad,257,42,17,316,20161458,1.567346965,62,19.62
2020,Uttar Pradesh,Ahmedabad,169,116,18,303,26924815,1.125355922,247,81.52
2022,Delhi,Mumbai,134,60,7,201,11529613,1.743336919,168,83.58
2021,Uttar Pradesh,Bengaluru,154,138,47,339,22228972,1.525036785,52,15.34
2022,Tamil Nadu,Lucknow,99,113,38,250,26011123,0.961127284,102,40.8
2022,Rajasthan,Mumbai,119,39,10,168,5419702,3.099801428,33,19.64
2022,Maharashtra,Lucknow,192,38,34,264,27418109,0.962867279,235,89.02
2021,Uttar Pradesh,Kochi,80,91,40,211,16683916,1.264691095,190,90.05
2023,Gujarat,Bengaluru,191,34,43,268,26563772,1.008892864,43,16.04
2020,West Bengal,Ahmedabad,75,143,12,230,28675079,0.802090205,200,86.96
2020,Bengaluru,New Delhi,187,124,46,357,17721108,2.01454672,208,58.26
2023,Uttar Pradesh,Jaipur,285,24,10,319,24113554,1.32290744,92,28.84
2021,Kerala,Ahmedabad,106,89,24,219,20155340,1.086560683,66,30.14
2022,Uttar Pradesh,Hyderabad,259,103,26,388,10050836,3.860375396,355,91.49
2022,Karnataka,Kochi,151,96,26,273,9530561,2.864469363,271,99.27
2020,Tamil Nadu,Kolkata,105,34,38,177,25414915,0.69644144,140,79.1
2020,Delhi,Kochi,293,94,39,426,22840251,1.865128365,63,14.79
2023,West Bengal,Mumbai,173,117,49,339,2491726,13.6050272,43,12.68
2023,Uttar Pradesh,Ahmedabad,50,31,27,108,20074067,0.53800757,82,75.93
2023,Bengaluru,Bengaluru,173,36,16,225,26487376,0.849461268,42,18.67
2021,Tamil Nadu,Mumbai,129,87,23,239,25592919,0.933852055,221,92.47
2023,Karnataka,Bengaluru,115,123,12,250,26025545,0.960594677,150,60
2023,Karnataka,Ahmedabad,134,112,23,269,15212097,1.768329508,124,46.1
2021,West Bengal,Lucknow,158,87,49,294,24614053,1.194439615,89,30.27
2023,Kerala,Kochi,259,39,33,331,18031749,1.835651106,246,74.32
2020,Uttar Pradesh,Lucknow,58,62,18,138,6445241,2.141114661,64,46.38
2022,Delhi,Kolkata,101,41,9,151,3749880,4.026795524,150,99.34
2022,Rajasthan,Mumbai,101,28,20,149,20804253,0.716199712,140,93.96
2022,Karnataka,New Delhi,255,95,39,389,21131167,1.840882711,268,68.89
2022,Rajasthan,New Delhi,106,145,36,287,14733246,1.947975348,64,22.3
2023,Rajasthan,Chennai,242,50,33,325,7523673,4.319698637,194,59.69
2020,Bengaluru,Kolkata,284,56,33,373,21868345,1.705661768,152,40.75
2023,Gujarat,Jaipur,293,38,27,358,21658883,1.652901491,344,96.09
2021,Maharashtra,Jaipur,67,95,50,212,19411658,1.092127216,181,85.38
2023,Tamil Nadu,Jaipur,247,71,27,345,10418201,3.311512227,240,69.57
2020,Kerala,Jaipur,287,144,40,471,19808278,2.377793769,123,26.11
2021,Uttar Pradesh,Kolkata,173,131,40,344,23328344,1.474601026,166,48.26
2020,Uttar Pradesh,Mumbai,253,106,42,401,2366130,16.947505,326,81.3
2023,Maharashtra,Kochi,55,11,32,98,1715153,5.713775972,49,50
2021,Gujarat,Lucknow,108,31,6,145,20745174,0.698957743,137,94.48
2023,Kerala,Ahmedabad,64,46,27,137,2044863,6.699715335,85,62.04
2021,West Bengal,Hyderabad,125,41,17,183,8294664,2.206237649,104,56.83
2021,Rajasthan,Bengaluru,193,118,28,339,1710390,19.82004104,254,74.93
2023,Bengaluru,Hyderabad,298,16,50,364,11650132,3.124428118,78,21.43
2023,Uttar Pradesh,Hyderabad,132,102,7,241,27237455,0.884811007,123,51.04
2021,Uttar Pradesh,New Delhi,223,23,28,274,14407114,1.901838217,161,58.76
2021,Bengaluru,Jaipur,185,104,44,333,16414840,2.028652122,331,99.4
2023,Karnataka,Lucknow,50,141,7,198,22614207,0.875555796,144,72.73
2022,West Bengal,Jaipur,266,65,9,340,26029406,1.306214979,172,50.59
2022,West Bengal,Hyderabad,264,137,19,420,27790178,1.511325332,259,61.67
2022,Rajasthan,Hyderabad,62,97,5,164,13836553,1.185266302,127,77.44
2023,Uttar Pradesh,Mumbai,236,79,47,362,17954011,2.01626255,222,61.33
2023,Karnataka,Hyderabad,160,135,10,305,9319654,3.272653684,126,41.31
2022,Karnataka,Jaipur,228,68,39,335,11071211,3.025865915,228,68.06
2020,Karnataka,Lucknow,138,149,22,309,7574064,4.079712028,153,49.51
2022,Bengaluru,Kolkata,149,140,39,328,3807587,8.614379658,326,99.39
2023,Rajasthan,Bengaluru,79,21,9,109,17865648,0.610109412,77,70.64
2020,Karnataka,Mumbai,205,130,6,341,15387043,2.216150303,319,93.55
2023,Karnataka,Lucknow,267,23,8,298,5844152,5.099114465,114,38.26
2020,Bengaluru,Chennai,116,31,25,172,10969856,1.56793307,165,95.93
2020,Tamil Nadu,Kolkata,56,116,42,214,21827193,0.980428404,125,58.41
2021,Delhi,Kochi,259,29,27,315,19136463,1.646072213,235,74.6
2023,Karnataka,Hyderabad,278,27,26,331,6615036,5.003752058,314,94.86
2021,Maharashtra,Lucknow,164,53,34,251,20458971,1.226845671,174,69.32
2022,West Bengal,Mumbai,163,32,29,224,16916857,1.324123033,90,40.18
2020,Kerala,Ahmedabad,84,31,23,138,25501212,0.54115075,127,92.03
2021,Bengaluru,Kolkata,135,148,32,315,7263997,4.336455535,64,20.32
2020,Bengaluru,Mumbai,205,39,32,276,5919305,4.662709558,79,28.62
2022,Bengaluru,Lucknow,298,121,26,445,5238735,8.494417068,178,40
2020,Maharashtra,Ahmedabad,219,38,41,298,29228749,1.019544148,237,79.53
2023,West Bengal,New Delhi,65,54,41,160,2173943,7.359898581,94,58.75
2020,West Bengal,Chennai,285,26,18,329,2292646,14.35023113,249,75.68
2022,Rajasthan,Kochi,252,149,5,406,14207249,2.857696096,145,35.71
2021,Bengaluru,Ahmedabad,141,143,17,301,19231665,1.565127096,40,13.29
2023,Delhi,Kolkata,133,21,18,172,23862740,0.720788979,114,66.28
2023,Maharashtra,Hyderabad,66,51,36,153,10994394,1.39161831,142,92.81
2023,West Bengal,Mumbai,71,117,34,222,9196578,2.413941359,118,53.15
2021,Tamil Nadu,Lucknow,82,144,33,259,23893708,1.083967378,133,51.35
2020,Delhi,Lucknow,230,59,16,305,4364140,6.988776712,58,19.02
2022,Uttar Pradesh,Bengaluru,270,72,16,358,6424829,5.572132737,156,43.58
2021,Tamil Nadu,Kochi,253,143,49,445,26334983,1.689767561,208,46.74
2020,Bengaluru,Mumbai,172,144,19,335,19820494,1.690169781,99,29.55
2023,Gujarat,Kolkata,201,113,41,355,16054521,2.211215146,164,46.2
2020,Kerala,Kochi,55,96,18,169,25316706,0.6675434,149,88.17
2020,Gujarat,Kochi,202,82,35,319,4893941,6.518264115,56,17.55
2022,Rajasthan,Kochi,274,131,22,427,11120529,3.839745393,178,41.69
2023,Uttar Pradesh,Mumbai,139,125,25,289,11908542,2.426829414,250,86.51
2020,Delhi,Ahmedabad,172,128,15,315,4710222,6.687582878,246,78.1
2023,West Bengal,New Delhi,136,63,12,211,10518416,2.006005467,40,18.96
2023,Delhi,Bengaluru,97,44,30,171,25241603,0.677453013,38,22.22
2020,Tamil Nadu,New Delhi,250,86,34,370,1982085,18.66721155,271,73.24
2023,Delhi,Ahmedabad,219,37,7,263,29574582,0.88927715,85,32.32
2023,Tamil Nadu,Jaipur,298,16,8,322,22467516,1.433180241,116,36.02
2021,Bengaluru,Hyderabad,147,104,40,291,21506811,1.353059735,183,62.89
2023,Rajasthan,Bengaluru,160,16,44,220,2551594,8.622061347,220,100
2020,Delhi,Jaipur,274,137,15,426,28564398,1.491366981,359,84.27
2023,Gujarat,Mumbai,278,65,45,388,11318851,3.427909776,162,41.75
2020,Karnataka,Jaipur,71,130,49,250,19001707,1.315671271,39,15.6
2022,Rajasthan,Kolkata,266,121,7,394,26988853,1.459861966,154,39.09
2023,Bengaluru,Bengaluru,95,93,10,198,7299537,2.712500807,110,55.56
2020,West Bengal,Mumbai,74,11,12,97,7895561,1.228538415,75,77.32
2022,Delhi,Chennai,93,103,31,227,3007829,7.546971586,145,63.88
2021,Uttar Pradesh,Kolkata,86,53,20,159,19359840,0.821287779,38,23.9
2022,Karnataka,Bengaluru,292,23,41,356,9879905,3.603273513,172,48.31
2020,Delhi,Jaipur,284,76,33,393,9039001,4.347825606,68,17.3
2023,Uttar Pradesh,Jaipur,287,98,32,417,15318490,2.722200426,194,46.52
2023,Rajasthan,New Delhi,156,22,39,217,1640203,13.23006969,158,72.81
2020,Gujarat,New Delhi,212,85,49,346,9964840,3.472208284,85,24.57
2022,Uttar Pradesh,New Delhi,280,34,50,364,24506947,1.485293129,151,41.48
2021,Gujarat,Ahmedabad,157,20,15,192,17592107,1.091398546,160,83.33
2022,Tamil Nadu,Bengaluru,102,75,24,201,3494657,5.751637428,199,99
2022,Karnataka,Kochi,224,54,40,318,1935564,16.42931983,200,62.89
2023,Delhi,Lucknow,239,112,12,363,29250396,1.24100884,184,50.69
2023,Kerala,Kolkata,235,72,49,356,8618467,4.130665001,205,57.58
2022,West Bengal,Kochi,76,24,48,148,16143994,0.916749597,87,58.78
2021,Rajasthan,Lucknow,262,118,18,398,9584296,4.152626338,272,68.34
2023,Delhi,Hyderabad,58,53,9,120,13344834,0.899224374,109,90.83
2022,Maharashtra,Hyderabad,211,34,30,275,6876377,3.999198997,153,55.64
2020,Rajasthan,Chennai,168,120,26,314,6301341,4.983066303,146,46.5
2020,Gujarat,Chennai,188,63,17,268,11004554,2.435355399,113,42.16
2021,Rajasthan,Kolkata,52,145,42,239,10850115,2.20274163,215,89.96
2023,Uttar Pradesh,Jaipur,75,129,28,232,11817703,1.963156461,97,41.81
2020,Rajasthan,Mumbai,127,107,12,246,19159477,1.283959891,197,80.08
2021,Tamil Nadu,Lucknow,111,100,5,216,9634565,2.241927892,58,26.85
2022,Gujarat,New Delhi,113,140,19,272,19070218,1.426307764,96,35.29
2022,Bengaluru,Hyderabad,110,45,11,166,28000783,0.592840564,153,92.17
2021,Uttar Pradesh,Hyderabad,221,52,42,315,12387745,2.542835682,114,36.19
2022,Tamil Nadu,Ahmedabad,216,125,49,390,12890946,3.025379208,352,90.26
2022,Gujarat,Mumbai,223,104,44,371,1183239,31.35461221,145,39.08
2022,Delhi,Hyderabad,185,116,40,341,1268721,26.87746163,35,10.26
2023,Gujarat,Jaipur,120,61,30,211,21433071,0.98445995,62,29.38
2023,West Bengal,New Delhi,85,29,11,125,16043283,0.779142274,80,64
2022,Gujarat,Jaipur,118,12,49,179,17512148,1.022147597,75,41.9
2023,Bengaluru,Jaipur,218,35,45,298,8273522,3.601851787,65,21.81
2021,Tamil Nadu,Bengaluru,287,146,12,445,22175808,2.006691256,154,34.61
2022,Uttar Pradesh,Jaipur,221,75,24,320,1728440,18.51380436,130,40.62
2022,Kerala,Mumbai,71,95,29,195,5432046,3.589807597,110,56.41
2023,Tamil Nadu,Chennai,139,147,9,295,2209555,13.35110463,103,34.92
2022,Karnataka,Jaipur,63,43,17,123,15703639,0.783257944,90,73.17
2021,Maharashtra,Chennai,229,55,17,301,22666338,1.327960432,143,47.51
2021,Gujarat,Ahmedabad,117,92,19,228,7396881,3.082380263,211,92.54
2022,Uttar Pradesh,Kolkata,213,18,32,263,5824941,4.515067191,159,60.46
2021,Tamil Nadu,Kolkata,88,13,33,134,22018210,0.608587165,113,84.33
2022,Gujarat,Ahmedabad,186,107,33,326,24017434,1.357347334,189,57.98
2022,Karnataka,Chennai,53,124,44,221,16686786,1.324401236,215,97.29
